common name,latin binomial,group_size,N,% of groups,source,reference
karoo scrub-robin,Erythropygia_coryphaeus,2,363,85,results,Lloyd. P.. Andrew Taylor. W.. Plessis. du. M. A.. & Martin. T. E. (2009). Females increase reproductive investment in response to helper-mediated improvements in allo-feeding. nest survival. nestling provisioning and post-fledging survival in the Karoo scrub-robin Cercotrichas coryphaeus. Journal of Avian Biology. 40(4). 400–411. http://doi.org/10.1111/j.1600-048X.2008.04642.x
karoo scrub-robin,Erythropygia_coryphaeus,3,54,13,results,ibid.
karoo scrub-robin,Erythropygia_coryphaeus,4,9,2,results,ibid.
karoo scrub-robin,Erythropygia_coryphaeus,5,1,1,results,ibid.
superb fairy-wren,Malurus_cyaneus,2,841,61,Figure 3a,Brouwer. L.. Cockburn. A.. & van de Pol . M. (2020). Integrating fitness components reveals that survival costs outweigh other benefits and costs of group living in two closely related species. The American Naturalist. 195(2). 201–215. http://doi.org/10.5061/dryad.92rv6bq
superb fairy-wren,Malurus_cyaneus,3,339,25,Figure 3a,ibid.
superb fairy-wren,Malurus_cyaneus,4,151,11,Figure 3a,ibid.
superb fairy-wren,Malurus_cyaneus,5,35,3,Figure 3a,ibid.
superb fairy-wren,Malurus_cyaneus,6+,11,1,Figure 3a,ibid.
red-winged fairy-wren,Malurus_elegans,2,203,21,"Table 1, Figure 3b","Russell. E. & Rowley. I. (2000) Demography and social organisation of the red-winged fairy-wren. Malurus elegans. Australian Journal of Zoology. 48. 161–200, Brouwer. L.. Cockburn. A.. & van de Pol . M. (2020). Integrating fitness components reveals that survival costs outweigh other benefits and costs of group living in two closely related species. The American Naturalist. 195(2). 201–215. http://doi.org/10.5061/dryad.92rv6bq"
red-winged fairy-wren,Malurus_elegans,3,260,27,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,4,240,25,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,5,154,16,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,6,72,7,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,7,24,3,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,8,5,1,"Table 1, Figure 3b",ibid.
red-winged fairy-wren,Malurus_elegans,9,3,1,"Table 1, Figure 3b",ibid.
white-fronted bee-eater,Merops_bullockoides,2,308,50,Figure 16.6,Emlen. S. T. In Stacey. P. B.. & Koenig. W. D. (1990). Cooperative Breeding in Birds: Long-term studies of ecology and behavior. (P. B. Stacey & W. D. Koenig). Cambridge: Cambridge University Press.
white-fronted bee-eater,Merops_bullockoides,3,186,30,Figure 16.6,ibid.
white-fronted bee-eater,Merops_bullockoides,4,83,14,Figure 16.6,ibid.
white-fronted bee-eater,Merops_bullockoides,5,27,4,Figure 16.6,ibid.
white-fronted bee-eater,Merops_bullockoides,6,6,1,Figure 16.6,ibid.
white-fronted bee-eater,Merops_bullockoides,7,1,1,Figure 16.6,ibid.
Hoatzin,Opisthocomus_hoazin,2,149,41,Figure 2,Strahl. S. D. (1988) The social organization and behaviour of the Hoatzin Opisthocomus hoazin in central Venezuela. Ibis. 130: 483-502.
Hoatzin,Opisthocomus_hoazin,3,106,29,Figure 2,ibid.
Hoatzin,Opisthocomus_hoazin,4,51,14,Figure 2,ibid.
Hoatzin,Opisthocomus_hoazin,5,40,11,Figure 2,ibid.
Hoatzin,Opisthocomus_hoazin,6,15,4,Figure 2,ibid.
Hoatzin,Opisthocomus_hoazin,7+,3,1,Figure 2,ibid.
sociable weaver,Philetairus_socius,2,103,28,Figure S1,D'Amelio et al. (2022) Disentangling climatic and nest predator impact on reproductive output reveals adverse high-temperature effects regardless of helper number in an arid-region cooperative bird. Ecology Letters. 25. 151-162.
sociable weaver,Philetairus_socius,3,97,27,Figure S1,ibid.
sociable weaver,Philetairus_socius,4,89,25,Figure S1,ibid.
sociable weaver,Philetairus_socius,5,51,14,Figure S1,ibid.
sociable weaver,Philetairus_socius,6,18,5,Figure S1,ibid.
sociable weaver,Philetairus_socius,7,4,1,Figure S1,ibid.
sociable weaver,Philetairus_socius,8,1,1,Figure S1,ibid.
green woodhoopoe,Phoeniculus_purpureus,2,6,5,Figure 3,Ligon. J. D.. & S. Ligon. 1978. The communal social system of the green woodhoopoe in Kenya. Living Bird 17:159-197.
green woodhoopoe,Phoeniculus_purpureus,3,21,16,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,4,16,12,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,5,27,21,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,6,22,17,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,7,11,9,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,8,14,11,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,9,8,6,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,10,1,0.5,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,11,2,1.5,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,15,1,0.5,Figure 3,ibid.
green woodhoopoe,Phoeniculus_purpureus,17,1,0.5,Figure 3,ibid.
