common name,latin binomial,measure,mean,standard_dev,variance,N_rs,group_size,source_rs,reference_rs,% of groups,N_freq,source_freq,reference_freq
rufous vanga,Schetba_rufa,number of fledglings / year,0.7,1.07,1.54,10,4,"""RS babbler&vanga"" .xlsx file ",ibid.,16,41,,ibid.
rufous vanga,Schetba_rufa,number of fledglings / year,2.25,1.77,3.25,4,5,"""RS babbler&vanga"" .xlsx file ",ibid.,5,13,,ibid.
toucan barbet,Semnornis_ramphastinus,number of fledglings / year,0.5,0.59,0.35,11,2,"results text: data from two breeding attempts also reported, combined here by summing mean number produced. taking a weighted average of the SD and using first attempt n (since second attempts likely from pairs measured in the first attempt so not independent)",Restrepo. C.. & Mondragón. M. L. (1998). Cooperative breeding in the frugivorous Toucan Barbet (Semnornis ramphastinus). The Auk. 115. 4-15.,NA,NA,NA,NA
toucan barbet,Semnornis_ramphastinus,number of fledglings / year,2.5,0.48,0.23,5,3,"results text: data from two breeding attempts also reported, combined here by summing mean number produced. taking a weighted average of the SD and using first attempt n (since second attempts likely from pairs measured in the first attempt so not independent)",ibid.,NA,NA,NA,NA
toucan barbet,Semnornis_ramphastinus,number of fledglings / year,1.7,0.3,0.09,3,4,"results text: data from two breeding attempts also reported, combined here by summing mean number produced. taking a weighted average of the SD and using first attempt n (since second attempts likely from pairs measured in the first attempt so not independent)",ibid.,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,fledgling production per year,4.48,2.17,4.69,85,2,Figure 2,Sydeman. W. J.. Güntert. M.. & Balda. R. P. (1988). Annual reproductive yield in the cooperative Pygmy Nuthatch (Sitta pygmaea). The Auk. 70–77.,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,fledgling production per year,5.21,2.08,4.33,41,3,Figure 2,ibid.,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,fledgling production per year,5.3,1.76,3.08,10,4,Figure 2,ibid.,NA,NA,NA,NA
Pygmy Nuthatch,Sitta_pygmaea,fledgling production per year,5.4,1.92,3.7,5,5,Figure 2,ibid.,NA,NA,NA,NA
apostlebird,Struthidea_cinerea,number of fledglings / season,1,0,0,2,3,Figure 7,Woxvold. I. A. (2004). Breeding ecology and group dynamics of the apostlebird. Australian Journal of Zoology. 52(6). 561-581.,7,4,Figure 1,Woxvold. I. A. (2004). Breeding ecology and group dynamics of the apostlebird. Australian Journal of Zoology. 52(6). 561-581.
apostlebird,Struthidea_cinerea,number of fledglings / season,2,0.82,0.67,4,4,Figure 7,ibid.,13,8,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,3.83,1.17,1.37,6,5,Figure 7,ibid.,13,8,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,4.25,1.75,3.07,8,6,Figure 7,ibid.,20,12,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,4,2.83,8,2,7,Figure 7,ibid.,7,4,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,4.67,2.52,6.33,3,8,Figure 7,ibid.,11,7,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,4.5,0.71,0.5,2,9,Figure 7,ibid.,5,3,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,6,1,1,3,10,Figure 7,ibid.,5,3,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,5.5,2.12,4.5,2,12,Figure 7,ibid.,5,3,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,8,1.41,2,2,15,Figure 7,ibid.,3,2,Figure 1,ibid.
apostlebird,Struthidea_cinerea,number of fledglings / season,5.5,2.12,4.5,2,17,Figure 7,ibid.,3,2,Figure 1,ibid.
