common name,latin binomial,measure,mean,standard_dev,variance,N_rs,group_size,source_rs,reference_rs,% of groups,N_freq,source_freq,reference_freq
azure-winged magpie,Cyanopica_cyanus,number of fledglings per hatched nest,1.59,2.27,5.13,57,2,Figure 1,Valencia. J.. Cruz. C. de L.. & Gonzalez. B. (2003). Flexible helping behaviour in the azure-winged Magpie. Ethology. 109(7). 545–558.,51,56,Table 1,Valencia. J.. Cruz. C. de L.. & Gonzalez. B. (2003). Flexible helping behaviour in the azure-winged Magpie. Ethology. 109(7). 545–558.
azure-winged magpie,Cyanopica_cyanus,number of fledglings per hatched nest,2.21,2.39,5.73,31,3,Figure 1,ibid.,28,31,Table 1,ibid.
azure-winged magpie,Cyanopica_cyanus,number of fledglings per hatched nest,3.92,2.45,6.02,11,4,Figure 1,ibid.,11,12,Table 1,ibid.
azure-winged magpie,Cyanopica_cyanus,number of fledglings per hatched nest,4.16,2.89,8.33,11,5,Figure 1,ibid.,4,4,Table 1,ibid.
laughing kookaburra,Dacelo_novaeguineae,fledging success (the number of nestlings present on the final nest visit),1.15,1.09,1.18,46,2,Figure 2c,Legge. S. (2000). The effect of helpers on reproductive success in the laughing kookaburra. Journal of Animal Ecology 69. 714-724.,34,44,Figure 1,Legge. S. & Cockburn. A. (2000) Social and mating system of cooperatively breeding laughing kookaburras (Dacelo novaeguineae). Behav Ecol Sociobiol. 47: 220–229.
laughing kookaburra,Dacelo_novaeguineae,fledging success (the number of nestlings present on the final nest visit),1.4,1.06,1.12,28,3,Figure 2c,ibid.,22,29,Figure 1,ibid.
laughing kookaburra,Dacelo_novaeguineae,fledging success (the number of nestlings present on the final nest visit),1.69,1.08,1.16,29,4,Figure 2c,ibid.,22,29,Figure 1,ibid.
laughing kookaburra,Dacelo_novaeguineae,fledging success (the number of nestlings present on the final nest visit),1.68,1.09,1.18,15,5,Figure 2c,ibid.,12,15,Figure 1,ibid.
laughing kookaburra,Dacelo_novaeguineae,fledging success (the number of nestlings present on the final nest visit),1.87,1.44,2.08,8,6,Figure 2c,ibid.,6,8,Figure 1,ibid.
laughing kookaburra,Dacelo_novaeguineae,fledging success (the number of nestlings present on the final nest visit),0.43,0.47,0.22,5,7,Figure 2c,ibid.,3,4,Figure 1,ibid.
White-breasted Robin,Eopsaltria_georgiana,number of fledglings / year,2.26,1.31,1.78,58,2,Table 6,Russell. E. M.. Brown. T. L. R. J.. & Brown. M. N. (2004). Life history of the white-breasted robin. Eopsaltria georgiana (Petroicidae). in south-western Australia. Australian Journal of Zoology. 52(2). 111–35.,30,76,Table 1,Russell. E. M.. Brown. T. L. R. J.. & Brown. M. N. (2004). Life history of the white-breasted robin. Eopsaltria georgiana (Petroicidae). in south-western Australia. Australian Journal of Zoology. 52(2). 111–35.
White-breasted Robin,Eopsaltria_georgiana,number of fledglings / year,2.83,1.39,1.95,88,3,Table 6,ibid.,41,105,Table 1,ibid.
White-breasted Robin,Eopsaltria_georgiana,number of fledglings / year,3.18,1.24,1.6,66,4,Table 6,ibid.,18,46,Table 1,ibid.
karoo scrub-robin,Erythropygia_coryphaeus,number of fledged young through the breeding season,0.71,1.12,1.26,298,2,"""KARO annual fecundity for Philip Downing"" .xlsx file ",LLoyd. pers. comm.,85,363,results,Lloyd. P.. Andrew Taylor. W.. Plessis. du. M. A.. & Martin. T. E. (2009). Females increase reproductive investment in response to helper-mediated improvements in allo-feeding. nest survival. nestling provisioning and post-fledging survival in the Karoo scrub-robin Cercotrichas coryphaeus. Journal of Avian Biology. 40(4). 400–411.
karoo scrub-robin,Erythropygia_coryphaeus,number of fledged young through the breeding season,1.53,1.47,2.17,49,3,"""KARO annual fecundity for Philip Downing"" .xlsx file ",ibid.,13,54,results,ibid.
karoo scrub-robin,Erythropygia_coryphaeus,number of fledged young through the breeding season,2,1.77,3.14,8,4,"""KARO annual fecundity for Philip Downing"" .xlsx file ",ibid.,2,9,results,ibid.
superb fairy-wren,Malurus_cyaneus,number of fledglings,2.5,5.8,33.6,841,2,Figure 3c,Brouwer. L.. Cockburn. A.. & van de Pol . M. (2020). Integrating fitness components reveals that survival costs outweigh other benefits and costs of group living in two closely related species. The American Naturalist. 195(2). 201–215.,61,841,Figure 3a,Brouwer. L.. Cockburn. A.. & van de Pol . M. (2020). Integrating fitness components reveals that survival costs outweigh other benefits and costs of group living in two closely related species. The American Naturalist. 195(2). 201–215.
